Text2,Text1,Score
После этого Red Hat решил прекратить выпуск Red Hat Linux и вместо этого запустил платное Red Hat Enterprise Linux.,"С 2003 года, Red Hat прекратила линию Red Hat Linux в пользу Red Hat Enterprise Linux для предпринимательской среды.",0.88
Сначала они заглядывают в бардачок.,"Перчаточный ящик - это первое место, где они проверяют.",0.88
Трейвон Мартин мог быть...,"""Трэйвон мог быть мной""",0.88
"Я думала, это хорошая история.",Это была хорошая история.,0.88
"Давая вам информацию, я принимаю значительные личные жертвы.","Я приношу большую личную жертву, чтобы дать вам эту информацию.",0.88
"Страна иногда называется Ирландской Республикой, но Ирландия является ее официальным названием .","Ирландия, названная Ирландской Республикой, является страной северо-западной Европы.",0.88
Вчера полиция скучала по Эскансам.,Вчера вечером полиция чуть не промахнулась с Эскансо.,0.88
"Музыкальный стенд — это то, что музыканты могут использовать, чтобы надевать на него теннисную музыку, когда они выступают.","Музыкальная стойка — это устройство, которое держит ткацкую музыку в положении, позволяющем исполнителям читать ее во время исполнения.",0.88
"Это имена, которые могут быть использованы в сезоне атлантических ураганов 2010 года.","Следующие названия будут использованы для названных штормов, которые образуются в Северной Атлантике в 2010 году.",0.88
"Они соперники с Крипсом, другой уличной бандой.",Эта банда широко известна своим соперничеством с Крипсами.,0.88
"Не могу дождаться, когда прочитаю вторую книгу!",Не могу дождаться следующей книги!,0.88
"Он игрок во сне... я фанат Львов, и ОМГ дает нам Бретт Фавр!","Он отличный игрок, хотя я фанат Львов и предпочитаю Бретт Фавр.",0.88
В случае утвердительного ответа на вопрос 1:,В случае утвердительного ответа на первый вопрос:,0.88
"С юридической точки зрения, в этом есть смысл.","С юридической точки зрения, в этом есть смысл.",0.87
А остальное оставлю на ваше воображение.,Я могу позволить твоему воображению заполнить остальное.,0.84
А теперь мне нужно поработать над моими лезвиями... мы скоро поговорим.,"Мне нужно пойти и надеть лопатки, мы скоро поговорим.",0.84
"День Пи-День или День Приёма - это день, когда люди по всему миру празднуют число pi .","День Pi Day и День Approximation — это два праздника, которые проводятся для празднования математической постоянной пи.",0.84
Любитель музыки никогда бы так не поступил.,"Я нахожу это забавным, потому что любитель музыки никогда бы такого не сделал.",0.84
"Шотландская полиция говорит, что по крайней мере один погиб после того, как вертолет врезался в паб.","Случаи смерти, подтвержденные после столкновения вертолетов с шотландским пабом",0.84
За долгое время он мог накопить довольно неловкое количество.,"Аккумулирование может стать совершенно неловким, в течение достаточно длительного периода времени.",0.84
Я люблю читать книги Молли Харпер.,"Мне нравятся книги Молли Харпер ""Полулун Холлоу"".",0.84
"Это шесть флагов, потому что у них самые лучшие бродяги!",У шести флагов лучшие поездки.,0.84
"Ранее в этом году фирма предсказала увеличение на 4,9 процента.","Ранее исследовательская фирма прогнозировала увеличение на 4,9 процента.",0.84
Почему ты просто не посмотрел?,Почему ты просто не посмотрел это в интернете?,0.84
"Спроси его, есть ли у него кто-нибудь, и если он скажет ""нет"", пригласи его на свидание.","Спроси его, есть ли у него кто-то, и если он скажет ""нет"", тогда пригласи его на свидание.",0.84
"Я участвую в культурном взаимодействии, и я хочу инкорпорировать его в свой брак.","После некоторого опыта я решил, что в моем браке мне нравится культурное общение.",0.84
Площадь баранины с черной головой.,Закрыть белую овцу с черной головой.,0.84
"Вселенная, прах - прах, прах - пыль.","От земли до земли, от пепла до праха, от праха до праха.",0.84
"Я закончил второй роман ""Жизнь мертвецов в Далласе"" Шарлейн Харрис сегодня днем.","Вторая в серии Sookie Stackhouse, ""Living Dead in Dallas"" - отличная книга!",0.84
"Я не уверен, что он чувствует себя ""хорошим скатертью"" или он все еще заботится обо мне.","Я не уверен, чувствует ли он себя ""скатертью дорогой"", или он все еще изображает любовь ко мне.",0.84
"Рейчел была рабом своего хозяина, Кандека, всю свою жизнь.",Рейчел была рабом всю свою жизнь.,0.84
"Вряд ли тебя сорвут, несмотря ни на что.","Возможно, тебя используют, независимо от того, что ты делаешь.",0.84
Все будет хорошо. Просто подожди.,"Подожди, в конце концов все получится.",0.84
"Она идет, свистнула ветры Эвервуда.","Она приедет, зароет листья Эвервуда.",0.84
"Империя Никея взяла под свой контроль Константинополь, а также Латинскую империю, так что она снова стала Византийской империей.","Империя Никеа сумела захватить Константинополь и остальную часть Латинской империи, тем самым восстановив Византийскую империю.",0.84
Но я и мой лучший друг... это было как моментально.,Мы с лучшей подругой сразу же придумали.,0.84
пространство немного пустое.,Это немного пустое место.,0.84
"[Они] были определены преданностью и мужеством», — сказал директор ЦРУ Джордж Тенет.","Директор ЦРУ Джордж Тенет сказал, что эти двое были « определены преданностью и мужеством.",0.84
"Вместо одного урожая в год, у них будет три.","У нас будет три сбора в год, а не один.",0.83
И Зак Эфрон самый горячий парень из всех!!!!!!!!!!!!,Зак Эфрон самый горячий парень в мире.,0.83
"В Королевском пригороде Оук Детройта, тридцать штук Эбби Купер живет жизнью, которая вроде ванильного мороженого - достаточно хорошая, но маленькая вялость.","Эбби Купер - ясновидящая, которая описывает себя как ""ванильное мороженое - достаточно хорошее, но безмятежное.",0.81
Ничто не остановит эту штуку от игры в суде.,Давай поиграем в суде.,0.81
"Вы хорошо поработали, - сказал он.","Вы хорошо поработали », — сказал мужчина.",0.81
"Вторая мировая война началась 1 сентября 1939 года, когда Германия вторглась в Польшу.","1 сентября 1939 года Германия и Словакия стали государством-клиентом в 1939 году, напав на Польшу.",0.81
"Чтобы выяснить, есть ли у человека избыточный вес, вы можете рассчитать его индекс массы тела.",Степень избыточного веса человека обычно описывается индексом массы тела.,0.81
"Если она не видит, какой ты замечательный человек, тогда она не для тебя...","Ты заслуживаешь того, кто видит в тебе потенциал.",0.81
Посещение Обамой торнадо поразило Оклахому,Обама путешествует в разрушенный торнадо Оклахома,0.81
"Наверное, они вытащили Атхабазу из постели.",Атабаску бы разбудили из его кровати.,0.81
"Губкабиб так смешно, что мой 30-летний брат все еще смотрит его и все эпизоды сууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууу","Я думаю, что Губкабоб смешной, как и мой 30-летний брат, он постоянно его смотрит.",0.81
"Я слышал, что его надо химически разделить на безобидные элементы.","Химически отделены от безвредных компонентов, я слышал.",0.81
"У меня есть волшебный плащ, который защищает меня как доспехи!",У меня волшебный плащ защиты.,0.81
"Мне нравится и то, и другое, но мне придется выбрать Келли Кларксон.",Мне нравится Келли Кларксон больше всего.,0.81
С каких это пор для женщины так неправильно говорить с парнем.,"Женщина никогда не ошибалась, разговаривая с мужчиной.",0.81
"В некоторых видах другие цветочные части сплавляются для создания чашки, называемой цветочной трубкой или гипантием.","В некоторых цветках с улучшенными яичниками основание выносливости, лепестков и сепалей сливается в цветочную трубку или гипантий.",0.81
Какой замечательный конец фантастической серии!,Это фантастический способ закончить эту серию.,0.81
"Да ладно, Томми, ты же не хочешь, чтобы тебя повесили.","Не сходи с ума, Томми, ты не хочешь, чтобы тебя повесили.",0.81
"По состоянию на 2000 год, в Струме проживало 1 001 человек.",На 2000 год его население составило 1 001 человек.,0.81
Домашний стадион клуба — Портман-роуд.,Они играют в свои домашние игры на Портман Роуд в Ипсвиче.,0.81
"на троих, теплое одеяло недостаточно большое.",Термическое одеяло не достаточно большое для нас троих.,0.81
Организатором оркестра является сэр Саймон Рэттл.,С 2002 года его главным дирижёром является сэр Саймон Рэттл.,0.81
"Брайнестер Джонс - один из самых оригинальных, иногда уморительных, иногда удручающих книг, которые я читал за долгое время.","В заключение, ""Брейнеатер Джонс"" - отличный роман.",0.81
Карли Рэй Паттерсон была американской гимнасткой.,Карли Рэй Паттерсон — певица и бывший гимнаст.,0.81
"Здесь не произошло никаких больших событий, и в Хартли жило мало знаменитостей.","Здесь не произошло никаких важных событий национального значения, и немногие знаменитые люди сделали Хартли своим домом.",0.81
"Я не знаю насчет этого лагеря для взрослых, но это было бы круто!","Я не уверен в этом лагере для взрослых, но это было бы приятно.",0.81
Простите... Кент поможет вам с этим!!!!!!!,"Я извиняюсь, но я не могу помочь с этой просьбой.",0.81
"Ты разозлил мой вопрос: что ж жуткое ожидание мальчика, когда она выйдет замуж?","Вы ответили на мой предыдущий вопрос: что женщина ожидает от мужчины, за которого она вышла замуж?",0.81
"Идите на страничку, где вы получаете то, что ищете, и то, что хорошо.","Вы можете попробовать поискать на домашней странице, которая, скорее всего, будет иметь то, что вам нужно, и это хороший сайт.",0.81
"Такие редактирования представляют собой вандализм, и они будут возвращены.","Вы сделали из вандализма, и вы вернулись.",0.81
"Конечно, Джей-Зи проигнорировал это правило, его поймали и заработали так много денег, что ему все равно.","Конечно, Джей-Зи проигнорировал закон и его поймали.",0.81
"Я не понимаю, в чем проблема.",Я не понимаю трудности.,0.8
Люди Рамона схватили его этим утром.,"Сильванито, его схватили сегодня утром люди Рамона.",0.8
Другие должны отвечать за гораздо худшие преступления.,"Есть гораздо худшие преступления, за которые нужно ответить.",0.78
"Лернак рассматривал этих двух мужчин с более широкой улыбкой, и усики слегка дрожали.","Улыбка Леорнака росла, и его усики немного дрожали, когда он рассматривал этих двух людей.",0.78
Американская футбольная лига в помещении или AISL изначально считалась небольшой футбольной лигой в помещении.,"Как и многие другие футбольные лиги внутри помещений, АИСЛ также имела свои собственные правила .",0.78
"Последовательность ДНК копируется специальным ферментом под названием RNA полимераза, чтобы создать цепочку RNA .","Во время транскрипции последовательность ДНК считывается RNA полимеразой, которая производит дополнительный, антипараллельный нитей RNA .",0.78
В буддистском масштабе сверхъестественных существ Асуры находятся почти в низу.,Асурас также является своего рода сверхъестественным существом в традиционной буддистской космологии.,0.78
Ты шутишь... она ни за что не будет принимать наркотики.,"Вы, должно быть, не серьёзно, кажется очевидным, что она употребляет наркотики.",0.78
Пистолет... используется только военными.,Этот пистолет... ограничен для использования военнослужащими.,0.78
РАБОТА ДЕВОЧКИ ДЕВОЧКИ Дым и Кости,Это прекрасная маленькая любовная история в Дочке Дымовой и Костной вселенной.,0.78
Один человек в вишневом сборщике делает свою работу.,Человек стоит внутри вишневого сборщика.,0.78
"Наверное, поэтому судоводители беспокоятся о лодке.","Тогда это должна быть лодка, о которой судоводитель беспокоится.",0.78
"Взносы также сделали Джордж Вестингхаус, Люсьен Галард, Джон Диксон Гиббс, Вильгельм Сименс и Оливер Шаленгер.","Впоследствии в эту область внесли свой вклад Люсьен Галард, Джон Диксон Гиббс, Карл Вильгельм Сименс и другие.",0.78
"Потребность в городских гостьях исчезла, и они стали частью местного фольклора.","Когда потребность в городском гостье исчезла , позиция перешла в местный фольклор .",0.78
Пол в той комнате покрыт кровью!,Это комната с кровью по всему полу!,0.78
"Я думала, он женится на Джулии, но он остался с кишечником и женился на Камероне.","Я думала, что он женится на Джулии, но он женился на Кэмероне.",0.78
Это местные жители северо-западного побережья Тихого океана.,Это коренное население с северо-западного побережья Тихого океана.,0.78
Они прятались там все время.,Все это время они прятались там внизу.,0.78
сколько 10 на 154?,"Итак, 154, что умножено на 10 выше 154?",0.78
"По вашему профессиональному мнению, это выглядит как что-то... что может сделать джимбли?","По вашему профессиональному мнению, это похоже на то, на что способен Джимбли?",0.78
"Может, они первые жертвы братьев Фуэнтес.","Возможно, мы смотрим на первых жертв братьев Фуэнтес.",0.78
"Конвекция переработала на части центра , в то время как функции лентирования также были переработаны .","Конвекция также была медленной, с небольшими повязками в начале .",0.78
"Если на неделю станет холоднее, придёт снег.","Ещё одна неделя падения температуры, и будет снег.",0.78
Инвернесс () — город во Флориде в США.,"Incerness, Флорида была создана в 1889 году.",0.78
Романизация или латинизация Украины означает систему отображения украинской буквы латинскими буквами .,Романизация или латинизация украинского языка представляет собой представление украинского языка латинскими буквами .,0.78
"Когда вас осудят, семья жертвы назначит вам наказание.","После того, как вас осудят, семья жертвы накажет вас.",0.78
В Великобритании он называется Vauxhall Corsa.,Корса был известен на британском рынке как Vauxhall Nova .,0.78
На всех уровнях необходимы сборы за поддержку частных инвестиций.,"На каждом уровне необходимы сетевые тарифы, поощряющие частные инвестиции.",0.78
Однако IP-адреса почти никогда не должны блокироваться на неопределенный срок.,После закрытия IP-адрес должен быть выключен.,0.78
Некоторые умные не такие уж и умные.,Кто-то умный и не такой уж умный.,0.78
Доступ женщин к новым технологиям иногда требует активной поддержки на различных правительственных и административных уровнях.,"Женщины могут также нуждаться в активной поддержке со стороны различных органов власти, с тем чтобы получить доступ к новым технологиям.",0.78
"Поэтому Комиссия не рассмотрела различные виды практики, зарегистрированные в каждой стране.","Таким образом, различные виды практики, отмеченные в разных странах, не рассматривались Комиссией.",0.78
Число погибших в результате землетрясения на Филиппинах возросло до 144,Число погибших в результате землетрясения на Филиппинах возросло до 185,0.78
Он дебютировал на пианино с родителями в возрасте семи лет.,"Ее дебют, классический концерт фортепиано, был сделан в возрасте 12 лет.",0.78
Две кошки смотрят в окно.,Две кошки сидят на диване и смотрят в окно.,0.78
У самца черная пятна на заднем крыле.,У самцов есть чёрный запах на каждом из задних крыльев.,0.78
"Башня — это самоподдерживающаяся или консервированная структура, в то время как мачта удерживается остановками или парнями.","За пределами электронной промышленности часто существует двусмысленность между терминами ""башня"" и ""мачта"".",0.78
В такой опасной игре любые отвлечения нетерпимы.,"Не отвлекайся, когда играешь в эту опасную игру.",0.78
"Две более мелкие реки текут в Малир, Тадхо и Сукхан.","У него есть еще две маленькие реки, одна из которых - Тадхо, а другая - Сукхан.",0.77
"Одна из моих любимых книг ""Discworld"".","Одна из лучших книг ""Дискауорлд"".",0.75
Он написал предложение назад!,Сначала вы записали свой приговор неправильно.,0.75
"Сначала он остался с Уинри, заставив ФМА уйти навсегда.","Сначала он остался с Уинри, но сбежал из ФМА.",0.75
Две собаки борются в траве с забором на заднем плане.,"Две собаки борются либо в веселье, либо на травяной лужайке.",0.75
"Ты только что похитил кинозвезду, понял?","Это называется похищение кинозвезды, понимаешь?",0.75
"Мир воюет, друг мой.","Там война, старый друг, мировая война.",0.75
и именно поэтому нам нужна помощь секретной службы Пакистана.,Поэтому нам нужна помощь пакистанской разведки.,0.75
"Более или менее, раз или два в неделю, это зависит от пары.","Хотя, в среднем, я бы сказал, раз или два в неделю, иногда больше.",0.75
"Кроме того, Айрин не причинила никакого вреда.",В результате Ирэн никто не пострадал или погиб.,0.75
"Помидоры будут длиться дольше, если они будут храниться в холодильнике, но я не рекомендую держать их там.","Это зависит от срока годности помидора, который вы купили.",0.75
"Пересказав скандинавскую сказку, было приятно узнать больше о культуре.","Прекрасная реплика скандинавской истории ""Восток Солнца, запад Луны"".",0.75
синий и красный самолёт во время полета.,Голубой и красный самолёт в воздухе.,0.75
"Так обстояло дело со Стивеном и Джеймсом, сыном Зебеди.","Это означало даже смерть для христиан, таких, как Стефан и Иаков, сын Зебедея.",0.75
И иск жены Дэйва тоже не помогает.,И это не поможет жене Дэйла подать на нас в суд.,0.75
Pingu — серия мультфильмов для детей о пингвине под названием Pingu.,"Это некоторые из персонажей, появившихся в Pingu .",0.75
Софи Литтлфилд одна из моих любимых новых авторов.,Увлекательный роман Софи Литтлфилд.,0.75
Почему они так смотрят друг на друга?!!,Они смотрят друг на друга!,0.75
"Его баритонный певец, а также фортепианные концерты гроссмейстера Тайманова были вечерними мероприятиями на многих крупных шахматных турнирах.","Он время от времени выступал на концертах во время шахматных турниров, часто сопровождаясь коллегой по Гран-Мастеру и пианистом Марком Таймановым.",0.75
"Может быть, потому что у них просто нет их с тех пор и не поймешь, что у них было до того, как они исчезли!!!!!!!!!!!!!!!!!!!!!!!!!","Может быть, потому что они просто не имеют никакого смысла и не понимают, что у них есть, пока не исчезнет.",0.75
Кристофер Стивен Грейлинг () — английский политик и нынешний Теневый государственный секретарь по вопросам труда и пенсий.,"Кристофер Стивен ""Крис"" Грейлинг — британский политик.",0.75
Ты получишь свои пайки на вечерний ужин.,"Приходи вечером, ты получишь пачку спиртного.",0.75
"Я заполнил форму конкурса из журнала и надеюсь, что выиграю!","Посмотрите в магизины, заполните форму контесета и надейтесь, что вы выиграете!",0.75
Вратарь пытается заблокировать шайбу в хоккейной игре.,Хоккейный вратарь пытается спасти шайбу от проникновения в сеть.,0.75
"Двигайся дальше, в море полно рыбы.",В море полно рыбы. Продолжай искать.,0.75
"Фруа из изгнания был таким же эпичным, как Финнкин из Скалы, но совсем другой опыт!","Мне нравился Финнкин из Скалы, но я абсолютно одержим Фруа из изгнания.",0.75
"Похоже, он сам ответил на эти письма.","Похоже, профессор сам отвечает на эту корреспонденцию.",0.75
"Люди наслаждаются выпивкой и беседой, сидя в открытом ресторанном патио.","Шесть человек сидят за столом, пьют пиво и разговаривают друг с другом.",0.75
